t_index	term	df
1382	brazil	2
1383	brazilian	1
1384	breach	3
1385	bread	1
1386	breadbasket	2
1387	break	104
1388	breakaway	2
1389	breakdown	3
1390	breaker	1
1391	breakfast	6
1392	breakout	9
1393	breakpoint	1
1394	breakthrough	12
1395	breakup	4
1396	breast	4
1397	breath	6
1398	breaux	1
1399	breed	5
1400	breez	6
1401	breme	1
1402	bremer	1
1403	brenton	2
1404	brevant	1
1405	brew	3
1406	brewer	1
1407	brian	15
1408	bribe	40
1409	briberi	10
1410	brick	10
1411	brickwal	1
1412	bride	1
1413	bridg	19
1414	bridgett	1
1415	brie	6
1416	brief	63
1417	briefli	24
1418	brig	1
1419	brigad	3
1420	bright	10
1421	brighten	2
1422	brighter	1
1423	brightest	2
1424	brightey	1
1425	brightli	1
1426	brilliant	3
1427	brim	1
1428	bring	126
1429	brink	6
1430	brisk	1
1431	briskli	3
1432	bristl	3
1433	britain	37
1434	brith	1
1435	british	56
1436	briton	3
1437	broad	11
1438	broadbas	2
1439	broadbeam	1
1440	broadbrush	1
1441	broadcast	59
1442	broaden	2
1443	broader	9
1444	broadli	3
1445	broder	1
1446	brokaw	1
1447	broke	91
1448	broken	49
1449	broker	7
1450	brokerag	1
1451	bronco	1
1452	bronxvil	1
1453	bronz	2
1454	brood	1
1455	brook	3
1456	brooklyn	1
1457	broom	1
1458	brother	66
1459	brotherinlaw	6
1460	brought	116
1461	brow	2
1462	brown	15
1463	brownskin	1
1464	broz	1
1465	bruce	1
1466	bruis	7
1467	brunei	22
1468	brunswick	1
1469	brunt	4
1470	brush	5
1471	brussel	6
1472	brutal	16
1473	bryan	4
1474	bryann	1
1475	bryant	1
1476	bs	2
1477	bubbl	1
1478	bubblegum	1
1479	buccan	1
1480	buchanan	7
1481	buck	9
1482	bucket	4
1483	buckl	13
1484	bud	3
1485	budapest	1
1486	buddhist	1
1487	buddi	1
1488	budget	9
1489	budnev	1
1490	budor	1
1491	budsmen	1
1492	budva	1
1493	bueni	1
1494	buf	4
1495	buff	4
1496	buffalo	3
1497	buffer	1
1498	bug	5
1499	bugss	1
1500	build	169
1501	builder	6
1502	buildup	2
1503	built	27
1504	bulatov	7
1505	bulg	1
1506	bulgaria	3
1507	bulk	4
1508	bulkhead	4
1509	bulki	1
1510	bulldoz	25
1511	bullet	8
1512	bulletin	3
1513	bulletproof	5
1514	bulli	3
1515	bullzdoz	1
1516	bum	1
1517	bump	2
1518	bumper	4
1519	bumpi	1
1520	bunch	5
1521	bundl	1
1522	bungl	6
1523	bunk	4
1524	bunker	7
1525	bunkroom	1
1526	bunt	1
1527	buoy	7
1528	buraika	1
1529	burch	1
1530	burden	7
1531	bureau	33
1532	bureaucraci	4
1533	bureaucrat	7
1534	burglar	7
1535	burglari	8
1536	burgsmul	2
1537	buri	85
1538	burial	13
1539	burk	3
1540	burkeclass	2
1541	burkhard	1
1542	burkina	8
1543	burkinab	1
1544	burkl	5
1545	burli	4
1546	burn	46
1547	burnedout	3
1548	burner	2
1549	burnt	3
1550	burri	1
1551	burst	10
1552	burton	5
1553	buse	19
1554	bush	98
1555	bushcheney	2
1556	bushgor	1
1557	bushnel	1
1558	bushquail	1
1559	bushybeard	1
1560	busi	90
1561	busiest	1
1562	busili	1
1563	businessman	54
1564	businessmen	5
1565	buss	1
1566	bust	7
1567	bustamant	1
1568	bustl	4
1569	butcher	4
1570	butter	1
1571	button	3
1572	buttress	5
1573	buy	44
1574	buyer	2
1575	buzz	6
1576	bye	1
1577	byfeet	1
1578	byfoot	15
1579	bypass	5
1580	byrd	6
1581	cab	2
1582	cabana	1
1583	cabin	2
1584	cabinet	31
1585	cabl	5
1586	cacak	8
1587	cach	2
1588	cadav	1
1589	cadet	1
1590	caeti	1
1591	cafe	4
1592	cafetalon	1
1593	cafeteria	1
1594	cage	5
1595	cagl	1
1596	cahokia	3
1597	cairo	5
1598	caisson	1
1599	cake	5
1600	cal	2
1601	calam	5
1602	calamit	1
1603	calatrava	2
1604	calcul	9
1605	calculu	1
1606	calcutta	3
1607	calderon	1
1608	calena	1
1609	caley	1
1610	calhoun	1
1611	calib	4
1612	calif	6
1613	california	32
1614	calina	1
1615	calix	1
1616	call	363
1617	callahan	1
1618	callen	3
1619	caller	5
1620	callin	1
1621	calloff	1
1622	callou	1
1623	callous	1
1624	calm	38
1625	calmli	1
1626	calvario	6
1627	calvert	1
1628	cambodia	3
1629	camden	1
1630	camel	3
1631	camera	25
1632	cameraman	3
1633	cameroon	2
1634	camouflag	7
1635	camp	49
1636	campaign	155
1637	campbel	1
1638	campfir	3
1639	campground	1
1640	campu	2
1641	canada	14
1642	canal	21
1643	canberra	1
1644	cancel	38
1645	cancer	45
1646	candid	135
1647	candidaci	15
1648	candiotti	2
